date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:57:31	81280/81280	---M-Z	200	added ('OK')	text/html	date:Mon,%2001%20Jul%202024%2017:57:30%20GMT	https://www.intrustbank.com/	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/index.html	(from )
18:57:33	185/185	---M-Z	200	added ('OK')	text/plain	etag:%2202d4fabb114d91:0%22	https://www.intrustbank.com/robots.txt		(from )
18:57:34	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2001%20Jul%202024%2017:57:35%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/intrustbank/www.googletagmanager.com/gtm.05445.delayed	(from https://www.intrustbank.com/)
18:57:35	3937/3937	---M--	200	added ('OK')	image/png	etag:%2208483ba7cecd71:0%22	https://www.intrustbank.com/favicon.png	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/favicon.png	(from https://www.intrustbank.com/)
18:57:35	301974/301974	---M--	200	added ('OK')	image/x-icon	etag:%2208483ba7cecd71:0%22	https://www.intrustbank.com/favicon.ico	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/favicon.ico	(from https://www.intrustbank.com/)
18:57:35	1355/1355	---M--	200	added ('OK')	image/svg+xml	etag:%2208483ba7cecd71:0%22	https://www.intrustbank.com/favicon.svg	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/favicon.svg	(from https://www.intrustbank.com/)
18:57:37	10060/10060	---MCZ	200	added ('OK')	text/css	date:Mon,%2022%20Apr%202024%2014:43:35%20GMT	https://cdn.datatables.net/v/bs4/jq-3.3.1/dt-1.10.18/cr-1.5.0/kt-2.5.0/r-2.2.2/datatables.min.css	C:/My%20Web%20Sites/intrustbank/cdn.datatables.net/v/bs4/jq-3.3.1/dt-1.10.18/cr-1.5.0/kt-2.5.0/r-2.2.2/datatables.min.css	(from https://www.intrustbank.com/)
18:57:37	149297/149297	---M-Z	200	added ('OK')	text/css	etag:%2207936f942a6da1:0%22	https://www.intrustbank.com/ResourcePackages/ST/library/css/fontawesome/css/all.css	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/ResourcePackages/ST/library/css/fontawesome/css/all.css	(from https://www.intrustbank.com/)
18:57:38	23989/23989	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jul%202024%2017:57:39%20GMT	https://use.typekit.net/meh4njf.css	C:/My%20Web%20Sites/intrustbank/use.typekit.net/meh4njf.css	(from https://www.intrustbank.com/)
18:57:40	86927/86927	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/intrustbank/ajax.googleapis.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.intrustbank.com/)
18:57:40	12795/12795	---M-Z	200	added ('OK')	text/css	etag:W/%2231fb-G+m3m+AqHPxdlsSl4P649HK6vZU%22	https://cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.6/dist/jquery.fancybox.min.css	C:/My%20Web%20Sites/intrustbank/cdn.jsdelivr.net/gh/fancyapps/fancybox@3.5.6/dist/jquery.fancybox.min.css	(from https://www.intrustbank.com/)
18:57:41	260764/260764	---M-Z	200	added ('OK')	text/css	date:Mon,%2001%20Jul%202024%2017:57:42%20GMT	https://www.intrustbank.com/Content/css?v=K_4Zq6MVxzXkfTGJLTNyV_pxROwNOvkdHVl1QE-nHww1	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/Content/css9861.css	(from https://www.intrustbank.com/)
18:57:41	8614/8614	---MCZ	200	added ('OK')	text/css	date:Mon,%2020%20May%202024%2018:17:41%20GMT	https://www.intrustbank.com/docs/default-source/assets/intrustcustom.css	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/docs/default-source/assets/intrustcustom.css	(from https://www.intrustbank.com/)
18:57:43	152255/152255	---M--	200	added ('OK')	image/jpeg	date:Thu,%2005%20Jan%202023%2016:55:01%20GMT	https://www.intrustbank.com/images/default-source/hero-images/hero-cd_promo-1440x800.jpg	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/images/default-source/hero-images/hero-cd_promo-1440x800.jpg	(from https://www.intrustbank.com/)
18:57:45	239779/239779	---M--	200	added ('OK')	image/jpeg	date:Mon,%2004%20Mar%202024%2016:31:55%20GMT	https://www.intrustbank.com/images/default-source/hero-images/hero-brand_dog-1440x760.jpg	C:/My%20Web%20Sites/intrustbank/www.intrustbank.com/images/default-source/hero-images/hero-brand_dog-1440x760.jpg	(from https://www.intrustbank.com/)
